Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-06-01","2,892","36,824","18.03","29","1,034","127","113","166","2,019"
"2021-06-02","3,039","35,313","16.46","37","1,032","177","18","213","2,161"
"2021-06-03","2,613","35,210","16.17","32","1,091","56","135","158","1,700"
"2021-06-04","2,763","36,074","17.56","65","1,061","119","131","129","1,864"
"2021-06-05","2,636","34,165","16.11","53","1,115","73","75","177","1,704"
"2021-06-06","2,562","33,089","13.76","16","1,053","136","70","181","1,672"
"2021-06-07","2,583","33,744","15.93","41","1,150","27","82","181","1,624"
"2021-06-08","2,756","37,000","17.89","55","1,080","87","119","154","1,849"
"2021-06-09","3,231","44,778","21.1","75","950","159","130","201","2,422"
"2021-06-10","2,627","36,339","16.78","64","1,071","118","74","177","1,728"
"2021-06-11","2,856","40,959","19.29","51","1,038","101","89","212","1,982"
"2021-06-12","2,816","37,549","15.43","22","983","162","114","181","1,982"
"2021-06-13","2,856","39,867","18.28","40","1,050","108","79","203","1,972"
"2021-06-14","2,903","41,227","19.1","49","962","193","107","178","2,082"
"2021-06-15","2,841","43,027","20.86","47","1,067","77","54","242","1,944"
"2021-06-16","3,037","45,376","21.53","47","935","207","102","196","2,242"
"2021-06-17","2,874","43,768","20.93","44","1,048","54","96","242","1,999"
"2021-06-18","3,000","43,888","21.13","73","974","178","101","187","2,164"
"2021-06-19","2,706","40,334","19.5","49","1,075","68","111","186","1,802"
"2021-06-20","3,067","42,104","19.59","53","998","123","79","240","2,225"
"2021-06-21","2,396","26,542","10.85","32","1,025","240","74","101","1,520"
"2021-06-22","2,413","29,287","14.45","48","1,147","106","29","158","1,446"
"2021-06-23","2,170","23,141","12.53","39","1,222","68","24","126","1,138"
"2021-06-24","2,344","27,157","13.81","46","1,113","163","56","108","1,396"
"2021-06-25","2,234","22,044","10.89","37","1,181","122","36","101","1,228"
"2021-06-26","2,396","26,149","10.91","10","1,093","144","68","135","1,458"
"2021-06-27","1,925","12,481","4.95","15","1,218","83","107","32","888"
"2021-06-28","2,200","21,052","8.96","4","1,210","39","27","164","1,185"
"2021-06-29","2,143","20,302","10.22","1","1,279","6","10","145","1,079"
"2021-06-30","2,228","22,383","11.38","16","1,204","108","4","124","1,212"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep

