Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-05-01","2,443","28,628","12.03","22","1,120","73","50","197","1,503"
"2021-05-02","2,647","31,162","12.58","45","1,058","124","59","199","1,746"
"2021-05-03","2,659","32,629","13.04","26","1,069","76","71","224","1,756"
"2021-05-04","2,760","35,523","16.08","42","1,089","53","107","191","1,846"
"2021-05-05","2,605","30,052","12.06","17","1,064","108","120","148","1,708"
"2021-05-06","2,445","30,085","13.34","18","1,142","69","51","178","1,488"
"2021-05-07","2,073","20,535","8.95","11","1,209","94","41","96","1,055"
"2021-05-08","2,328","25,149","11.01","15","1,180","52","37","171","1,341"
"2021-05-09","2,102","20,346","7.61","15","1,198","79","49","114","1,093"
"2021-05-10","2,354","27,014","12.26","14","1,167","64","64","145","1,378"
"2021-05-11","2,342","27,921","13.59","43","1,196","38","63","143","1,335"
"2021-05-12","2,344","27,871","13.28","42","1,163","63","83","131","1,364"
"2021-05-13","2,479","29,067","12.28","13","1,121","47","135","137","1,544"
"2021-05-14","2,576","32,772","16.28","37","1,160","20","122","138","1,610"
"2021-05-15","2,795","36,499","15.59","86","985","155","157","143","1,962"
"2021-05-16","2,611","34,038","14.68","41","1,077","74","168","121","1,708"
"2021-05-17","2,405","30,282","14.3","34","1,140","83","46","171","1,446"
"2021-05-18","2,607","33,084","14.62","33","1,082","78","150","130","1,693"
"2021-05-19","2,568","33,214","15.77","43","1,072","139","77","152","1,659"
"2021-05-20","2,941","46,064","18.2","58","970","45","280","145","2,131"
"2021-05-21","2,436","31,307","14.38","55","1,121","81","107","131","1,495"
"2021-05-22","2,627","30,288","15.06","37","1,178","29","37","196","1,639"
"2021-05-23","2,635","32,819","15.64","65","1,114","82","83","161","1,693"
"2021-05-24","2,660","33,912","16.5","22","1,120","64","49","207","1,722"
"2021-05-25","2,592","35,301","16.35","44","1,119","49","98","174","1,654"
"2021-05-26","1,760","13,981","5.51","15","1,275","60","46","59","691"
"2021-05-27","2,862","40,015","20.08","11","1,115","30","83","212","1,930"
"2021-05-28","2,464","30,394","14.25","41","1,142","55","130","113","1,510"
"2021-05-29","2,425","30,155","12.16","30","1,073","117","170","80","1,520"
"2021-05-30","2,655","35,110","16.52","45","1,085","93","65","197","1,742"
"2021-05-31","2,417","31,822","14.99","42","1,142","50","105","143","1,463"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep

