Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2022-03-01","2,001","14,321","5.74","41","750","309","5","17","1,046"
"2022-03-02","2,852","32,419","14","128","533","288","86","124","2,023"
"2022-03-03","2,348","21,829","9.27","92","652","266","45","72","1,426"
"2022-03-04","1,900","15,096","6.25","70","747","166","19","45","870"
"2022-03-05","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-06","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-07","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-08","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-09","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-10","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-11","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-12","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-13","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-14","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-15","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-16","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-17","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-18","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-19","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-20","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-21","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-22","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-23","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-24","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-25","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-26","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-27","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-28","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-29","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-30","1,193","0","0","0","1,440","0","0","0","0"
"2022-03-31","1,193","0","0","0","1,440","0","0","0","0"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-03-04 12:10AM","2022-03-04 7:53AM","390","73","37","463","80","226","84"
"2022-03-03 12:45AM","2022-03-03 7:30AM","357","48","28","405","88","179","90"
"2022-03-02 12:52AM","2022-03-02 7:41AM","375","34","25","409","102","192","81"
"2022-03-01 1:34AM","2022-03-01 7:34AM","330","29","20","359","106","160","64"

