Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2022-01-01","2,148","21,408","10.7","43","1,212","103","21","104","1,136"
"2022-01-02","1,637","10,821","4.3","10","1,301","77","17","45","553"
"2022-01-03","2,351","27,215","13","47","1,182","62","42","154","1,352"
"2022-01-04","2,090","22,538","11.39","35","1,239","61","46","94","1,059"
"2022-01-05","1,679","10,798","4.88","17","1,271","119","20","30","616"
"2022-01-06","1,807","9,725","3.96","8","651","244","13","8","789"
"2022-01-07","1,985","21,004","10.96","44","1,269","37","19","115","929"
"2022-01-08","2,101","20,733","8.92","13","1,189","110","12","129","1,108"
"2022-01-09","2,134","21,102","8.82","50","1,164","111","62","103","1,156"
"2022-01-10","2,332","28,323","11.79","39","651","44","60","181","1,367"
"2022-01-11","1,784","12,779","5.34","11","1,274","79","19","68","719"
"2022-01-12","2,029","18,666","9.64","43","842","80","18","89","972"
"2022-01-13","2,140","20,671","11.02","58","710","53","7","123","1,086"
"2022-01-14","2,286","24,640","12.6","57","1,240","26","70","104","1,252"
"2022-01-15","1,666","11,554","4.6","17","1,308","54","13","65","574"
"2022-01-16","2,263","23,117","11.76","66","1,248","34","17","141","1,227"
"2022-01-17","2,107","20,721","10.5","57","1,236","77","8","119","1,075"
"2022-01-18","1,721","7,819","3.17","12","740","214","5","6","694"
"2022-01-19","1,856","11,412","4.43","11","1,239","68","95","38","820"
"2022-01-20","1,868","15,148","7.24","28","862","44","53","62","792"
"2022-01-21","2,166","20,285","10.17","25","1,200","108","46","86","1,157"
"2022-01-22","2,019","14,219","5.93","7","709","72","82","74","1,005"
"2022-01-23","1,927","14,453","5.75","12","1,230","82","83","45","897"
"2022-01-24","1,911","11,958","4.95","17","781","102","48","52","867"
"2022-01-25","2,015","11,375","4.54","21","769","128","48","78","1,005"
"2022-01-26","1,988","13,343","5.37","10","860","60","40","102","954"
"2022-01-27","1,981","15,229","6.11","21","778","113","58","64","964"
"2022-01-28","1,663","9,692","3.88","12","1,266","134","20","20","592"
"2022-01-29","2,392","21,531","9.04","128","1,088","133","92","127","1,473"
"2022-01-30","1,983","14,465","5.89","53","1,137","253","20","30","1,020"
"2022-01-31","2,051","16,069","6.57","42","1,129","251","26","34","1,086"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-01-26 10:46PM","2022-01-27 5:54AM","379","48","35","427","96","199","84"
"2022-01-25 10:23PM","2022-01-26 4:41AM","316","62","31","378","39","195","82"
"2022-01-24 10:47PM","2022-01-25 5:44AM","366","51","28","417","88","221","57"
"2022-01-23 10:14PM","2022-01-24 5:51AM","399","58","36","457","69","257","73"
"2022-01-22 12:13AM","2022-01-22 8:36AM","441","62","45","503","110","247","84"
"2022-01-20 1:07AM","2022-01-20 8:06AM","368","51","35","419","50","251","67"
"2022-01-18 12:13AM","2022-01-18 8:08AM","404","71","32","475","65","231","108"
"2022-01-13 1:28AM","2022-01-13 10:35AM","463","84","42","547","62","326","75"
"2022-01-11 11:23PM","2022-01-12 6:14AM","342","69","24","411","44","228","70"
"2022-01-09 11:46PM","2022-01-10 8:10AM","434","70","46","504","104","228","102"
"2022-01-05 10:39PM","2022-01-06 7:23AM","436","88","38","524","55","297","84"

